,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
66,210,STONEYs by Satoshi's Mom,190.05,+31.03%,---,0.05,851,2.2K
67,211,Psychedelics Anonymous Printing Press,188.65,-51.22%,-48.95%,0.83,4.5K,6.8K
54,212,CryptoDickbutts,187.09,+91.81%,-78.43%,1.14,1.6K,5.2K
65,213,Pixl Pets - Genesis Collection,186.18,+92.77%,-64.43%,0.2,5.0K,15.0K
63,214,Phancy Pets,183.12,-82.93%,+37.13%,0.12,3.8K,7.6K
64,215,METAMON PROJECT,"421,693.51",-30.66%,-89.11%,133,1.8K,10.0K
55,216,Mirandus,181.39,-40.35%,-4.60%,0.08,14.9K,182
62,217,RTFKT - CloneX Mintvial,181.38,---,-10.64%,24.8,542,542
56,218,Prime Ape Planet PAP,180.65,-55.09%,-20.06%,0.85,5.3K,7.9K
61,219,VOX Collectibles,179.11,+150.66%,+20.91%,1,3.4K,8.9K
57,220,3LAND WORLD,177.79,-100.00%,+47.02%,3.85,186,241
60,221,PhantaBear,177.61,+71.28%,-66.58%,0.99,5.3K,10.0K
58,222,Apocalyptic Apes,177.58,+121.02%,+33.97%,0.44,3.6K,8.9K
59,223,Jadu Hoverboard,177.31,+46.62%,-21.61%,0.59,4.2K,6.7K
44,224,CryptoMories,174.98,---,-38.76%,0.96,5.2K,10.0K
75,225,SupDucks,174.2,-52.61%,-28.06%,1.34,3.6K,10.0K
51,226,Quantum Curated,172.98,+251.08%,+410.40%,0.8,839,1.9K
72,227,The CryptoBear Watch Club,171.61,+19.61%,+538.99%,0.65,806,3.0K
50,228,RaidParty Heroes,171.19,+3.56%,-73.14%,0.93,3.1K,5.3K
68,229,Moon Ape Lab Genesis,170.98,-55.88%,+90.61%,0.2,1.8K,8.0K
48,230,Council of Kingz Official,170.42,-66.73%,+82.66%,0.38,1.8K,7.8K
69,231,CHILL RX,169.79,+1021.55%,-40.82%,0.1,4.1K,9.9K
70,232,TurkeysMegaverse,169.59,-68.34%,+42191.03%,0.02,3.3K,7.8K
0,233,FVCK_CRYSTAL//,169.47,-0.85%,+51.54%,2.6,2.1K,4.2K
67,234,Crypto Coven,167.9,+45.44%,-42.45%,1.15,4.8K,9.8K
65,235,Bears Deluxe,167.9,-36.76%,+48.66%,1,2.7K,6.2K
